wasp_emote v3 190 games, 104183 moves, e=0.897, loss: 12.2, ., 62.1% elo% vs. guard_bot, avg. reward: -9.422, 6.362 sec/game, 5.6 min. total, 755.2 MB
wasp_emote v3 192 games, 105241 moves, e=0.896, loss: 9.8, ., 61.6% elo% vs. guard_bot, avg. reward: -9.423, 6.630 sec/game, 5.7 min. total, 755.7 MB
wasp_emote v3 194 games, 106237 moves, e=0.895, loss: 8.9, ., 61.1% elo% vs. guard_bot, avg. reward: -9.448, 9.116 sec/game, 6.6 min. total, 756.1 MB
wasp_emote v3 196 games, 107277 moves, e=0.894, loss: 8.2, +, 62.7% elo% vs. guard_bot, avg. reward: -9.482, 9.297 sec/game, 6.7 min. total, 756.1 MB
wasp_emote v3 198 games, 108576 moves, e=0.893, loss: 7.8, +, 64.3% elo% vs. guard_bot, avg. reward: -9.489, 184.598 sec/game, 65.3 min. total, 756.3 MB
wasp_emote v3 200 games, 109685 moves, e=0.891, loss: 7.5, +, 65.8% elo% vs. guard_bot, avg. reward: -9.484, 184.505 sec/game, 65.4 min. total, 756.5 MB
wasp_emote v4 202 games, 110711 moves, e=0.890, loss: 7.5, +, 52.3% elo% vs. guard_bot, avg. reward: -9.502, 309.844 sec/game, 107.5 min. total, 756.8 MB
wasp_emote v4 204 games, 112100 moves, e=0.889, loss: 7.3, ., 52.2% elo% vs. guard_bot, avg. reward: -9.452, 310.043 sec/game, 107.6 min. total, 757.1 MB
wasp_emote v4 206 games, 113116 moves, e=0.888, loss: 7.2, +, 54.4% elo% vs. guard_bot, avg. reward: -9.466, 309.474 sec/game, 107.7 min. total, 757.8 MB
wasp_emote v4 208 games, 114311 moves, e=0.887, loss: 7.2, +, 56.5% elo% vs. guard_bot, avg. reward: -9.461, 309.503 sec/game, 107.8 min. total, 759.4 MB
wasp_emote v4 210 games, 115418 moves, e=0.886, loss: 6.9, +, 58.4% elo% vs. guard_bot, avg. reward: -9.466, 306.864 sec/game, 107.9 min. total, 759.9 MB
wasp_emote v4 212 games, 116677 moves, e=0.884, loss: 6.9, +, 60.3% elo% vs. guard_bot, avg. reward: -9.436, 306.887 sec/game, 108.0 min. total, 760.7 MB
wasp_emote v4 214 games, 117819 moves, e=0.883, loss: 7.0, +, 62.0% elo% vs. guard_bot, avg. reward: -9.412, 304.689 sec/game, 108.2 min. total, 761.6 MB
wasp_emote v4 216 games, 118863 moves, e=0.882, loss: 6.7, +, 63.6% elo% vs. guard_bot, avg. reward: -9.427, 304.693 sec/game, 108.2 min. total, 763.3 MB
