annuity_bulge v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.7 MB
annuity_bulge v8 443 games, 364622 moves, e=0.639, loss: 9.4, -, 41.4% elo% vs. simple_bot, avg. reward: -7.807, 2.936 sec/game, 16.3 min. total, 581.9 MB
annuity_bulge v8 444 games, 365732 moves, e=0.638, loss: 9.6, -, 39.6% elo% vs. simple_bot, avg. reward: -7.783, 2.931 sec/game, 16.3 min. total, 582.1 MB
annuity_bulge v8 445 games, 366837 moves, e=0.637, loss: 10.2, -, 37.8% elo% vs. simple_bot, avg. reward: -7.761, 2.920 sec/game, 16.4 min. total, 582.2 MB
annuity_bulge v8 446 games, 368026 moves, e=0.636, loss: 10.1, -, 36.2% elo% vs. simple_bot, avg. reward: -7.743, 2.947 sec/game, 16.4 min. total, 583.4 MB
annuity_bulge v8 447 games, 369120 moves, e=0.635, loss: 9.7, -, 34.7% elo% vs. simple_bot, avg. reward: -7.705, 2.947 sec/game, 16.5 min. total, 585.4 MB
annuity_bulge v8 448 games, 370128 moves, e=0.634, loss: 9.2, -, 33.3% elo% vs. simple_bot, avg. reward: -7.680, 2.943 sec/game, 16.5 min. total, 585.3 MB
annuity_bulge v8 449 games, 371272 moves, e=0.632, loss: 9.3, -, 31.9% elo% vs. simple_bot, avg. reward: -7.639, 2.967 sec/game, 16.6 min. total, 586.0 MB
annuity_bulge v8 450 games, 372268 moves, e=0.631, loss: 9.2, -, 30.6% elo% vs. simple_bot, avg. reward: -7.615, 2.960 sec/game, 16.6 min. total, 582.5 MB
annuity_bulge v8 451 games, 373231 moves, e=0.631, loss: 8.7, -, 29.5% elo% vs. simple_bot, avg. reward: -7.584, 2.962 sec/game, 16.7 min. total, 582.4 MB
annuity_bulge v8 452 games, 374577 moves, e=0.629, loss: 8.5, -, 28.3% elo% vs. simple_bot, avg. reward: -7.546, 3.031 sec/game, 16.7 min. total, 585.7 MB
annuity_bulge v8 453 games, 375619 moves, e=0.628, loss: 8.1, -, 27.3% elo% vs. simple_bot, avg. reward: -7.527, 3.031 sec/game, 16.8 min. total, 586.0 MB
annuity_bulge v8 454 games, 376564 moves, e=0.627, loss: 8.0, -, 26.3% elo% vs. simple_bot, avg. reward: -7.516, 2.992 sec/game, 16.8 min. total, 586.9 MB
annuity_bulge v8 455 games, 377601 moves, e=0.626, loss: 8.3, -, 25.4% elo% vs. simple_bot, avg. reward: -7.509, 3.006 sec/game, 16.9 min. total, 584.7 MB
annuity_bulge v8 456 games, 378705 moves, e=0.625, loss: 8.2, -, 24.5% elo% vs. simple_bot, avg. reward: -7.479, 3.006 sec/game, 16.9 min. total, 586.7 MB
annuity_bulge v8 457 games, 379954 moves, e=0.624, loss: 8.7, -, 23.7% elo% vs. simple_bot, avg. reward: -7.446, 3.011 sec/game, 17.0 min. total, 586.2 MB
annuity_bulge v8 458 games, 381098 moves, e=0.623, loss: 9.7, -, 22.9% elo% vs. simple_bot, avg. reward: -7.420, 3.014 sec/game, 17.0 min. total, 585.2 MB
annuity_bulge v8 459 games, 382391 moves, e=0.621, loss: 9.4, -, 22.2% elo% vs. simple_bot, avg. reward: -7.371, 3.048 sec/game, 17.1 min. total, 586.7 MB
annuity_bulge v8 460 games, 383481 moves, e=0.620, loss: 9.4, -, 21.5% elo% vs. simple_bot, avg. reward: -7.352, 3.067 sec/game, 17.1 min. total, 586.9 MB
annuity_bulge v8 461 games, 384659 moves, e=0.619, loss: 9.8, -, 20.8% elo% vs. simple_bot, avg. reward: -7.326, 3.093 sec/game, 17.2 min. total, 585.4 MB
annuity_bulge v8 462 games, 385777 moves, e=0.618, loss: 10.2, -, 20.2% elo% vs. simple_bot, avg. reward: -7.290, 3.101 sec/game, 17.3 min. total, 588.7 MB
annuity_bulge v8 463 games, 387002 moves, e=0.617, loss: 10.8, -, 19.6% elo% vs. simple_bot, avg. reward: -7.263, 3.135 sec/game, 17.3 min. total, 589.5 MB
annuity_bulge v8 464 games, 388152 moves, e=0.616, loss: 11.2, -, 19.0% elo% vs. simple_bot, avg. reward: -7.237, 3.140 sec/game, 17.4 min. total, 588.7 MB
annuity_bulge v8 465 games, 389480 moves, e=0.614, loss: 11.6, -, 18.5% elo% vs. simple_bot, avg. reward: -7.193, 3.171 sec/game, 17.4 min. total, 589.0 MB
annuity_bulge v8 466 games, 390571 moves, e=0.613, loss: 11.5, -, 18.0% elo% vs. simple_bot, avg. reward: -7.169, 3.153 sec/game, 17.5 min. total, 589.6 MB
annuity_bulge v8 467 games, 391817 moves, e=0.612, loss: 12.1, -, 17.5% elo% vs. simple_bot, avg. reward: -7.131, 3.183 sec/game, 17.5 min. total, 590.9 MB
annuity_bulge v8 468 games, 392915 moves, e=0.611, loss: 12.4, -, 17.0% elo% vs. simple_bot, avg. reward: -7.111, 3.180 sec/game, 17.6 min. total, 589.3 MB
annuity_bulge v8 469 games, 394151 moves, e=0.610, loss: 12.0, -, 16.6% elo% vs. simple_bot, avg. reward: -7.081, 3.187 sec/game, 17.6 min. total, 592.5 MB
annuity_bulge v8 470 games, 395263 moves, e=0.609, loss: 12.2, -, 16.2% elo% vs. simple_bot, avg. reward: -7.062, 3.191 sec/game, 17.7 min. total, 591.5 MB
annuity_bulge v8 471 games, 396376 moves, e=0.608, loss: 13.1, -, 15.8% elo% vs. simple_bot, avg. reward: -7.022, 3.220 sec/game, 17.7 min. total, 591.5 MB
annuity_bulge v8 472 games, 397557 moves, e=0.606, loss: 13.7, -, 15.4% elo% vs. simple_bot, avg. reward: -6.984, 3.195 sec/game, 17.8 min. total, 591.7 MB
annuity_bulge v8 473 games, 398957 moves, e=0.605, loss: 13.9, -, 15.0% elo% vs. simple_bot, avg. reward: -6.947, 3.238 sec/game, 17.9 min. total, 593.2 MB
annuity_bulge v8 474 games, 400095 moves, e=0.604, loss: 13.8, -, 14.7% elo% vs. simple_bot, avg. reward: -6.935, 3.271 sec/game, 17.9 min. total, 593.4 MB
annuity_bulge v8 475 games, 401261 moves, e=0.603, loss: 13.5, -, 14.3% elo% vs. simple_bot, avg. reward: -6.911, 3.269 sec/game, 18.0 min. total, 591.3 MB
annuity_bulge v8 476 games, 402421 moves, e=0.602, loss: 13.0, -, 14.0% elo% vs. simple_bot, avg. reward: -6.865, 3.285 sec/game, 18.0 min. total, 594.5 MB
annuity_bulge v8 477 games, 403503 moves, e=0.601, loss: 13.2, -, 13.7% elo% vs. simple_bot, avg. reward: -6.844, 3.261 sec/game, 18.1 min. total, 594.7 MB
annuity_bulge v8 478 games, 404853 moves, e=0.599, loss: 14.2, -, 13.4% elo% vs. simple_bot, avg. reward: -6.792, 3.279 sec/game, 18.1 min. total, 594.7 MB
annuity_bulge v8 479 games, 406128 moves, e=0.598, loss: 14.8, -, 13.1% elo% vs. simple_bot, avg. reward: -6.756, 3.286 sec/game, 18.2 min. total, 591.7 MB
annuity_bulge v8 480 games, 407133 moves, e=0.597, loss: 15.4, -, 12.9% elo% vs. simple_bot, avg. reward: -6.747, 3.282 sec/game, 18.2 min. total, 595.8 MB
annuity_bulge v8 481 games, 408365 moves, e=0.596, loss: 14.9, -, 12.6% elo% vs. simple_bot, avg. reward: -6.731, 3.286 sec/game, 18.3 min. total, 596.1 MB
annuity_bulge v8 482 games, 409487 moves, e=0.595, loss: 14.4, -, 12.3% elo% vs. simple_bot, avg. reward: -6.716, 3.299 sec/game, 18.4 min. total, 593.9 MB
annuity_bulge v8 483 games, 410544 moves, e=0.594, loss: 14.6, -, 12.1% elo% vs. simple_bot, avg. reward: -6.696, 3.271 sec/game, 18.4 min. total, 593.8 MB
annuity_bulge v8 484 games, 411667 moves, e=0.592, loss: 15.7, -, 11.9% elo% vs. simple_bot, avg. reward: -6.686, 3.271 sec/game, 18.5 min. total, 597.2 MB
annuity_bulge v8 485 games, 412936 moves, e=0.591, loss: 16.7, -, 11.6% elo% vs. simple_bot, avg. reward: -6.644, 3.274 sec/game, 18.5 min. total, 597.2 MB
annuity_bulge v8 486 games, 414255 moves, e=0.590, loss: 17.6, -, 11.4% elo% vs. simple_bot, avg. reward: -6.617, 3.299 sec/game, 18.6 min. total, 596.0 MB
annuity_bulge v8 487 games, 415505 moves, e=0.589, loss: 18.9, -, 11.2% elo% vs. simple_bot, avg. reward: -6.593, 3.298 sec/game, 18.6 min. total, 597.2 MB
annuity_bulge v8 488 games, 416790 moves, e=0.587, loss: 19.1, -, 11.0% elo% vs. simple_bot, avg. reward: -6.555, 3.330 sec/game, 18.7 min. total, 597.6 MB
annuity_bulge v8 489 games, 418045 moves, e=0.586, loss: 19.6, -, 10.8% elo% vs. simple_bot, avg. reward: -6.539, 3.318 sec/game, 18.7 min. total, 599.8 MB
annuity_bulge v8 490 games, 419191 moves, e=0.585, loss: 20.9, -, 10.6% elo% vs. simple_bot, avg. reward: -6.512, 3.341 sec/game, 18.8 min. total, 600.0 MB
annuity_bulge v8 491 games, 420312 moves, e=0.584, loss: 21.5, -, 10.4% elo% vs. simple_bot, avg. reward: -6.485, 3.347 sec/game, 18.9 min. total, 600.0 MB
annuity_bulge v8 492 games, 421468 moves, e=0.583, loss: 21.1, -, 10.3% elo% vs. simple_bot, avg. reward: -6.482, 3.350 sec/game, 18.9 min. total, 600.0 MB
annuity_bulge v8 493 games, 422554 moves, e=0.582, loss: 22.0, -, 10.1% elo% vs. simple_bot, avg. reward: -6.477, 3.322 sec/game, 19.0 min. total, 600.1 MB
annuity_bulge v8 494 games, 423915 moves, e=0.580, loss: 21.4, -, 9.9% elo% vs. simple_bot, avg. reward: -6.436, 3.339 sec/game, 19.0 min. total, 599.2 MB
annuity_bulge v8 495 games, 425016 moves, e=0.579, loss: 22.1, -, 9.8% elo% vs. simple_bot, avg. reward: -6.423, 3.334 sec/game, 19.1 min. total, 600.4 MB
annuity_bulge v8 496 games, 426266 moves, e=0.578, loss: 21.3, -, 9.6% elo% vs. simple_bot, avg. reward: -6.387, 3.347 sec/game, 19.1 min. total, 601.8 MB
annuity_bulge v8 497 games, 427409 moves, e=0.577, loss: 22.4, -, 9.4% elo% vs. simple_bot, avg. reward: -6.372, 3.353 sec/game, 19.2 min. total, 601.5 MB
annuity_bulge v8 498 games, 428660 moves, e=0.576, loss: 22.8, -, 9.3% elo% vs. simple_bot, avg. reward: -6.339, 3.334 sec/game, 19.2 min. total, 601.7 MB
annuity_bulge v8 499 games, 429790 moves, e=0.575, loss: 22.8, -, 9.2% elo% vs. simple_bot, avg. reward: -6.329, 3.310 sec/game, 19.3 min. total, 601.6 MB
annuity_bulge v8 500 games, 430871 moves, e=0.573, loss: 23.2, -, 9.0% elo% vs. simple_bot, avg. reward: -6.326, 3.324 sec/game, 19.3 min. total, 600.5 MB
annuity_bulge v9 501 games, 432289 moves, e=0.572, loss: 24.7, -, 47.7% elo% vs. simple_bot, avg. reward: -6.290, 3.347 sec/game, 19.4 min. total, 602.0 MB
annuity_bulge v9 502 games, 433500 moves, e=0.571, loss: 27.1, -, 45.5% elo% vs. simple_bot, avg. reward: -6.243, 3.349 sec/game, 19.5 min. total, 599.0 MB
annuity_bulge v9 503 games, 434816 moves, e=0.570, loss: 26.5, -, 43.4% elo% vs. simple_bot, avg. reward: -6.215, 3.389 sec/game, 19.5 min. total, 600.2 MB
annuity_bulge v9 504 games, 436206 moves, e=0.568, loss: 26.2, -, 41.5% elo% vs. simple_bot, avg. reward: -6.185, 3.407 sec/game, 19.6 min. total, 604.5 MB
annuity_bulge v9 505 games, 437310 moves, e=0.567, loss: 25.6, -, 39.6% elo% vs. simple_bot, avg. reward: -6.157, 3.385 sec/game, 19.6 min. total, 603.8 MB
annuity_bulge v9 506 games, 438539 moves, e=0.566, loss: 25.5, -, 37.9% elo% vs. simple_bot, avg. reward: -6.133, 3.381 sec/game, 19.7 min. total, 603.9 MB
annuity_bulge v9 507 games, 439828 moves, e=0.565, loss: 25.2, -, 36.3% elo% vs. simple_bot, avg. reward: -6.112, 3.388 sec/game, 19.8 min. total, 604.3 MB
annuity_bulge v9 508 games, 440916 moves, e=0.563, loss: 25.9, -, 34.8% elo% vs. simple_bot, avg. reward: -6.085, 3.367 sec/game, 19.8 min. total, 604.4 MB
annuity_bulge v9 509 games, 442283 moves, e=0.562, loss: 24.5, -, 33.3% elo% vs. simple_bot, avg. reward: -6.064, 3.399 sec/game, 19.9 min. total, 603.8 MB
annuity_bulge v9 510 games, 443632 moves, e=0.561, loss: 24.8, -, 32.0% elo% vs. simple_bot, avg. reward: -6.030, 3.418 sec/game, 19.9 min. total, 603.9 MB
annuity_bulge v9 511 games, 444904 moves, e=0.560, loss: 23.6, -, 30.7% elo% vs. simple_bot, avg. reward: -6.014, 3.432 sec/game, 20.0 min. total, 606.2 MB
annuity_bulge v9 512 games, 446208 moves, e=0.558, loss: 23.1, -, 29.5% elo% vs. simple_bot, avg. reward: -5.986, 3.454 sec/game, 20.1 min. total, 604.0 MB
annuity_bulge v9 513 games, 447443 moves, e=0.557, loss: 23.1, -, 28.4% elo% vs. simple_bot, avg. reward: -5.950, 3.460 sec/game, 20.1 min. total, 604.0 MB
annuity_bulge v9 514 games, 448607 moves, e=0.556, loss: 22.6, -, 27.3% elo% vs. simple_bot, avg. reward: -5.919, 3.443 sec/game, 20.2 min. total, 608.1 MB
annuity_bulge v9 515 games, 450034 moves, e=0.554, loss: 21.4, -, 26.4% elo% vs. simple_bot, avg. reward: -5.886, 3.477 sec/game, 20.2 min. total, 608.6 MB
annuity_bulge v9 516 games, 451389 moves, e=0.553, loss: 22.2, -, 25.4% elo% vs. simple_bot, avg. reward: -5.856, 3.494 sec/game, 20.3 min. total, 605.8 MB
annuity_bulge v9 517 games, 452878 moves, e=0.552, loss: 23.7, -, 24.5% elo% vs. simple_bot, avg. reward: -5.826, 3.537 sec/game, 20.4 min. total, 609.4 MB
annuity_bulge v9 518 games, 454105 moves, e=0.550, loss: 22.1, -, 23.7% elo% vs. simple_bot, avg. reward: -5.808, 3.535 sec/game, 20.4 min. total, 608.3 MB
annuity_bulge v9 519 games, 455374 moves, e=0.549, loss: 23.0, -, 22.9% elo% vs. simple_bot, avg. reward: -5.778, 3.554 sec/game, 20.5 min. total, 605.8 MB
annuity_bulge v9 520 games, 456594 moves, e=0.548, loss: 25.9, -, 22.2% elo% vs. simple_bot, avg. reward: -5.770, 3.574 sec/game, 20.5 min. total, 606.1 MB
annuity_bulge v9 521 games, 457798 moves, e=0.547, loss: 25.9, -, 21.5% elo% vs. simple_bot, avg. reward: -5.721, 3.536 sec/game, 20.6 min. total, 606.4 MB
annuity_bulge v9 522 games, 459214 moves, e=0.545, loss: 25.8, -, 20.8% elo% vs. simple_bot, avg. reward: -5.683, 3.565 sec/game, 20.7 min. total, 607.9 MB
annuity_bulge v9 523 games, 460644 moves, e=0.544, loss: 25.4, -, 20.2% elo% vs. simple_bot, avg. reward: -5.624, 3.566 sec/game, 20.7 min. total, 610.3 MB
annuity_bulge v9 524 games, 462189 moves, e=0.542, loss: 26.4, -, 19.6% elo% vs. simple_bot, avg. reward: -5.592, 3.597 sec/game, 20.8 min. total, 608.1 MB
annuity_bulge v9 525 games, 463576 moves, e=0.541, loss: 27.6, -, 19.1% elo% vs. simple_bot, avg. reward: -5.564, 3.630 sec/game, 20.9 min. total, 608.2 MB
annuity_bulge v9 526 games, 464932 moves, e=0.540, loss: 29.8, -, 18.5% elo% vs. simple_bot, avg. reward: -5.522, 3.644 sec/game, 20.9 min. total, 608.0 MB
annuity_bulge v9 527 games, 466280 moves, e=0.538, loss: 28.8, -, 18.0% elo% vs. simple_bot, avg. reward: -5.498, 3.640 sec/game, 21.0 min. total, 609.5 MB
annuity_bulge v9 528 games, 467658 moves, e=0.537, loss: 31.2, -, 17.5% elo% vs. simple_bot, avg. reward: -5.478, 3.675 sec/game, 21.0 min. total, 611.4 MB
annuity_bulge v9 529 games, 468939 moves, e=0.536, loss: 30.6, -, 17.1% elo% vs. simple_bot, avg. reward: -5.465, 3.664 sec/game, 21.1 min. total, 613.5 MB
annuity_bulge v9 530 games, 470523 moves, e=0.534, loss: 31.4, -, 16.6% elo% vs. simple_bot, avg. reward: -5.415, 3.689 sec/game, 21.2 min. total, 611.2 MB
annuity_bulge v9 531 games, 471901 moves, e=0.533, loss: 30.3, -, 16.2% elo% vs. simple_bot, avg. reward: -5.396, 3.701 sec/game, 21.2 min. total, 614.6 MB
annuity_bulge v9 532 games, 473536 moves, e=0.531, loss: 31.9, -, 15.8% elo% vs. simple_bot, avg. reward: -5.348, 3.732 sec/game, 21.3 min. total, 615.1 MB
annuity_bulge v9 533 games, 474928 moves, e=0.530, loss: 31.1, -, 15.4% elo% vs. simple_bot, avg. reward: -5.308, 3.763 sec/game, 21.4 min. total, 615.1 MB
annuity_bulge v9 534 games, 476304 moves, e=0.528, loss: 34.6, -, 15.1% elo% vs. simple_bot, avg. reward: -5.302, 3.795 sec/game, 21.4 min. total, 616.2 MB
annuity_bulge v9 535 games, 477589 moves, e=0.527, loss: 33.8, -, 14.7% elo% vs. simple_bot, avg. reward: -5.275, 3.781 sec/game, 21.5 min. total, 613.9 MB
annuity_bulge v9 536 games, 478894 moves, e=0.526, loss: 33.3, -, 14.4% elo% vs. simple_bot, avg. reward: -5.255, 3.773 sec/game, 21.6 min. total, 616.2 MB
annuity_bulge v9 537 games, 480305 moves, e=0.524, loss: 32.4, -, 14.0% elo% vs. simple_bot, avg. reward: -5.254, 3.758 sec/game, 21.6 min. total, 614.3 MB
annuity_bulge v9 538 games, 481639 moves, e=0.523, loss: 31.1, -, 13.7% elo% vs. simple_bot, avg. reward: -5.225, 3.772 sec/game, 21.7 min. total, 616.4 MB
annuity_bulge v9 539 games, 483261 moves, e=0.522, loss: 36.3, -, 13.4% elo% vs. simple_bot, avg. reward: -5.192, 3.822 sec/game, 21.8 min. total, 617.8 MB
annuity_bulge v9 540 games, 484589 moves, e=0.520, loss: 37.4, -, 13.1% elo% vs. simple_bot, avg. reward: -5.160, 3.824 sec/game, 21.8 min. total, 614.2 MB
annuity_bulge v9 541 games, 485970 moves, e=0.519, loss: 38.1, -, 12.9% elo% vs. simple_bot, avg. reward: -5.140, 3.854 sec/game, 21.9 min. total, 616.9 MB
annuity_bulge v9 542 games, 487320 moves, e=0.518, loss: 37.2, -, 12.6% elo% vs. simple_bot, avg. reward: -5.114, 3.860 sec/game, 21.9 min. total, 620.7 MB
annuity_bulge v9 543 games, 488693 moves, e=0.516, loss: 36.6, -, 12.4% elo% vs. simple_bot, avg. reward: -5.083, 3.852 sec/game, 22.0 min. total, 617.0 MB
annuity_bulge v9 544 games, 490028 moves, e=0.515, loss: 41.2, -, 12.1% elo% vs. simple_bot, avg. reward: -5.069, 3.834 sec/game, 22.1 min. total, 616.9 MB
annuity_bulge v9 545 games, 491329 moves, e=0.514, loss: 42.9, -, 11.9% elo% vs. simple_bot, avg. reward: -5.051, 3.825 sec/game, 22.1 min. total, 619.3 MB
annuity_bulge v9 546 games, 492640 moves, e=0.512, loss: 44.6, -, 11.7% elo% vs. simple_bot, avg. reward: -5.035, 3.816 sec/game, 22.2 min. total, 619.5 MB
annuity_bulge v9 547 games, 493967 moves, e=0.511, loss: 44.9, -, 11.4% elo% vs. simple_bot, avg. reward: -5.016, 3.828 sec/game, 22.3 min. total, 617.5 MB
annuity_bulge v9 548 games, 495595 moves, e=0.509, loss: 44.7, -, 11.2% elo% vs. simple_bot, avg. reward: -4.984, 3.847 sec/game, 22.3 min. total, 617.3 MB
annuity_bulge v9 549 games, 497020 moves, e=0.508, loss: 42.3, -, 11.0% elo% vs. simple_bot, avg. reward: -4.966, 3.852 sec/game, 22.4 min. total, 621.2 MB
annuity_bulge v9 550 games, 498476 moves, e=0.507, loss: 44.2, -, 10.8% elo% vs. simple_bot, avg. reward: -4.935, 3.845 sec/game, 22.5 min. total, 620.8 MB
annuity_bulge v9 551 games, 499878 moves, e=0.505, loss: 46.1, -, 10.6% elo% vs. simple_bot, avg. reward: -4.913, 3.847 sec/game, 22.5 min. total, 617.7 MB
annuity_bulge v9 552 games, 501292 moves, e=0.504, loss: 47.8, -, 10.4% elo% vs. simple_bot, avg. reward: -4.913, 3.822 sec/game, 22.6 min. total, 621.0 MB
annuity_bulge v9 553 games, 502685 moves, e=0.502, loss: 43.8, -, 10.3% elo% vs. simple_bot, avg. reward: -4.894, 3.815 sec/game, 22.6 min. total, 622.0 MB
annuity_bulge v9 554 games, 504131 moves, e=0.501, loss: 44.9, -, 10.1% elo% vs. simple_bot, avg. reward: -4.867, 3.819 sec/game, 22.7 min. total, 619.9 MB
annuity_bulge v9 555 games, 505597 moves, e=0.499, loss: 42.5, -, 9.9% elo% vs. simple_bot, avg. reward: -4.842, 3.835 sec/game, 22.8 min. total, 623.0 MB
annuity_bulge v9 556 games, 507096 moves, e=0.498, loss: 46.2, -, 9.8% elo% vs. simple_bot, avg. reward: -4.835, 3.860 sec/game, 22.8 min. total, 621.9 MB
annuity_bulge v9 557 games, 508384 moves, e=0.497, loss: 46.2, -, 9.6% elo% vs. simple_bot, avg. reward: -4.842, 3.847 sec/game, 22.9 min. total, 619.6 MB
annuity_bulge v9 558 games, 509805 moves, e=0.495, loss: 43.2, -, 9.5% elo% vs. simple_bot, avg. reward: -4.835, 3.864 sec/game, 23.0 min. total, 623.6 MB
annuity_bulge v9 559 games, 511171 moves, e=0.494, loss: 45.1, -, 9.3% elo% vs. simple_bot, avg. reward: -4.829, 3.827 sec/game, 23.0 min. total, 621.3 MB
annuity_bulge v9 560 games, 512673 moves, e=0.492, loss: 41.9, -, 9.2% elo% vs. simple_bot, avg. reward: -4.799, 3.860 sec/game, 23.1 min. total, 627.3 MB
annuity_bulge v9 561 games, 513947 moves, e=0.491, loss: 45.7, -, 9.0% elo% vs. simple_bot, avg. reward: -4.787, 3.849 sec/game, 23.2 min. total, 626.9 MB
annuity_bulge v9 562 games, 515314 moves, e=0.490, loss: 43.9, -, 8.9% elo% vs. simple_bot, avg. reward: -4.776, 3.830 sec/game, 23.2 min. total, 626.8 MB
annuity_bulge v9 563 games, 516846 moves, e=0.488, loss: 42.6, -, 8.8% elo% vs. simple_bot, avg. reward: -4.767, 3.860 sec/game, 23.3 min. total, 626.1 MB
annuity_bulge v9 564 games, 518200 moves, e=0.487, loss: 44.0, -, 8.6% elo% vs. simple_bot, avg. reward: -4.758, 3.862 sec/game, 23.4 min. total, 626.2 MB
annuity_bulge v9 565 games, 519660 moves, e=0.486, loss: 43.3, -, 8.5% elo% vs. simple_bot, avg. reward: -4.754, 3.875 sec/game, 23.4 min. total, 627.2 MB
annuity_bulge v9 566 games, 521316 moves, e=0.484, loss: 44.7, -, 8.4% elo% vs. simple_bot, avg. reward: -4.722, 3.926 sec/game, 23.5 min. total, 626.6 MB
annuity_bulge v9 567 games, 522899 moves, e=0.482, loss: 44.1, -, 8.3% elo% vs. simple_bot, avg. reward: -4.699, 3.962 sec/game, 23.6 min. total, 625.0 MB
annuity_bulge v9 568 games, 524283 moves, e=0.481, loss: 45.8, -, 8.1% elo% vs. simple_bot, avg. reward: -4.671, 3.930 sec/game, 23.6 min. total, 628.1 MB
annuity_bulge v9 569 games, 525646 moves, e=0.480, loss: 50.0, -, 8.0% elo% vs. simple_bot, avg. reward: -4.659, 3.940 sec/game, 23.7 min. total, 625.0 MB
annuity_bulge v9 570 games, 527253 moves, e=0.478, loss: 48.8, -, 7.9% elo% vs. simple_bot, avg. reward: -4.629, 3.962 sec/game, 23.8 min. total, 625.2 MB
annuity_bulge v9 571 games, 528744 moves, e=0.477, loss: 46.6, -, 7.8% elo% vs. simple_bot, avg. reward: -4.606, 3.968 sec/game, 23.8 min. total, 627.7 MB
annuity_bulge v9 572 games, 530395 moves, e=0.475, loss: 48.7, -, 7.7% elo% vs. simple_bot, avg. reward: -4.571, 3.995 sec/game, 23.9 min. total, 629.0 MB
annuity_bulge v9 573 games, 531726 moves, e=0.474, loss: 49.1, -, 7.6% elo% vs. simple_bot, avg. reward: -4.568, 3.993 sec/game, 24.0 min. total, 627.4 MB
annuity_bulge v9 574 games, 533379 moves, e=0.472, loss: 51.9, -, 7.5% elo% vs. simple_bot, avg. reward: -4.528, 4.017 sec/game, 24.0 min. total, 627.4 MB
annuity_bulge v9 575 games, 534897 moves, e=0.470, loss: 48.5, -, 7.4% elo% vs. simple_bot, avg. reward: -4.500, 4.020 sec/game, 24.1 min. total, 630.2 MB
annuity_bulge v9 576 games, 536384 moves, e=0.469, loss: 47.2, -, 7.3% elo% vs. simple_bot, avg. reward: -4.492, 4.015 sec/game, 24.2 min. total, 631.6 MB
annuity_bulge v9 577 games, 537774 moves, e=0.468, loss: 51.5, -, 7.2% elo% vs. simple_bot, avg. reward: -4.480, 4.029 sec/game, 24.2 min. total, 630.9 MB
annuity_bulge v9 578 games, 539264 moves, e=0.466, loss: 50.4, -, 7.2% elo% vs. simple_bot, avg. reward: -4.476, 4.042 sec/game, 24.3 min. total, 630.5 MB
annuity_bulge v9 579 games, 540818 moves, e=0.465, loss: 53.2, -, 7.1% elo% vs. simple_bot, avg. reward: -4.469, 4.068 sec/game, 24.4 min. total, 630.2 MB
annuity_bulge v9 580 games, 542365 moves, e=0.463, loss: 55.1, -, 7.0% elo% vs. simple_bot, avg. reward: -4.434, 4.069 sec/game, 24.5 min. total, 634.8 MB
annuity_bulge v9 581 games, 543802 moves, e=0.462, loss: 53.1, -, 6.9% elo% vs. simple_bot, avg. reward: -4.429, 4.086 sec/game, 24.5 min. total, 630.9 MB
annuity_bulge v9 582 games, 545335 moves, e=0.460, loss: 51.8, -, 6.8% elo% vs. simple_bot, avg. reward: -4.391, 4.137 sec/game, 24.6 min. total, 631.0 MB
annuity_bulge v9 583 games, 546922 moves, e=0.459, loss: 54.2, -, 6.7% elo% vs. simple_bot, avg. reward: -4.372, 4.162 sec/game, 24.7 min. total, 634.1 MB
annuity_bulge v9 584 games, 548511 moves, e=0.457, loss: 53.1, -, 6.7% elo% vs. simple_bot, avg. reward: -4.348, 4.207 sec/game, 24.8 min. total, 636.6 MB
annuity_bulge v9 585 games, 550204 moves, e=0.455, loss: 57.2, -, 6.6% elo% vs. simple_bot, avg. reward: -4.326, 4.249 sec/game, 24.8 min. total, 632.9 MB
annuity_bulge v9 586 games, 551577 moves, e=0.454, loss: 59.1, -, 6.5% elo% vs. simple_bot, avg. reward: -4.330, 4.209 sec/game, 24.9 min. total, 633.3 MB
annuity_bulge v9 587 games, 553471 moves, e=0.452, loss: 53.4, -, 6.4% elo% vs. simple_bot, avg. reward: -4.296, 4.229 sec/game, 25.0 min. total, 633.1 MB
annuity_bulge v9 588 games, 555060 moves, e=0.450, loss: 51.1, -, 6.4% elo% vs. simple_bot, avg. reward: -4.287, 4.278 sec/game, 25.1 min. total, 635.8 MB
annuity_bulge v9 589 games, 556630 moves, e=0.449, loss: 51.5, -, 6.3% elo% vs. simple_bot, avg. reward: -4.257, 4.291 sec/game, 25.1 min. total, 633.5 MB
annuity_bulge v9 590 games, 558408 moves, e=0.447, loss: 51.8, -, 6.2% elo% vs. simple_bot, avg. reward: -4.221, 4.304 sec/game, 25.2 min. total, 637.7 MB
annuity_bulge v9 591 games, 559663 moves, e=0.446, loss: 53.0, -, 6.2% elo% vs. simple_bot, avg. reward: -4.216, 4.280 sec/game, 25.3 min. total, 635.2 MB
annuity_bulge v9 592 games, 561054 moves, e=0.445, loss: 51.8, -, 6.1% elo% vs. simple_bot, avg. reward: -4.204, 4.257 sec/game, 25.3 min. total, 638.4 MB
annuity_bulge v9 593 games, 562733 moves, e=0.443, loss: 50.8, -, 6.0% elo% vs. simple_bot, avg. reward: -4.164, 4.302 sec/game, 25.4 min. total, 637.6 MB
