annuity_bulge v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.7 MB
annuity_bulge v3 94 games, 67291 moves, e=0.933, loss: 5.5, -, 24.9% elo% vs. random_no_suicide, avg. reward: -10.872, 1.934 sec/game, 2.5 min. total, 482.2 MB
annuity_bulge v3 95 games, 67990 moves, e=0.933, loss: 5.4, +, 27.6% elo% vs. random_no_suicide, avg. reward: -10.879, 1.951 sec/game, 2.6 min. total, 479.7 MB
annuity_bulge v3 96 games, 68684 moves, e=0.932, loss: 5.5, -, 26.6% elo% vs. random_no_suicide, avg. reward: -10.880, 1.961 sec/game, 2.6 min. total, 479.9 MB
annuity_bulge v3 97 games, 69368 moves, e=0.931, loss: 5.8, -, 25.6% elo% vs. random_no_suicide, avg. reward: -10.880, 1.959 sec/game, 2.6 min. total, 484.3 MB
annuity_bulge v3 98 games, 70158 moves, e=0.931, loss: 5.8, -, 24.7% elo% vs. random_no_suicide, avg. reward: -10.875, 2.004 sec/game, 2.7 min. total, 484.8 MB
annuity_bulge v3 99 games, 70799 moves, e=0.930, loss: 5.8, -, 23.9% elo% vs. random_no_suicide, avg. reward: -10.888, 1.983 sec/game, 2.7 min. total, 484.4 MB
annuity_bulge v3 100 games, 71660 moves, e=0.929, loss: 6.0, -, 23.1% elo% vs. random_no_suicide, avg. reward: -10.872, 2.009 sec/game, 2.7 min. total, 483.4 MB
annuity_bulge v4 101 games, 72451 moves, e=0.928, loss: 5.8, -, 47.7% elo% vs. random_no_suicide, avg. reward: -10.860, 2.032 sec/game, 2.8 min. total, 483.4 MB
annuity_bulge v4 102 games, 73260 moves, e=0.927, loss: 5.6, -, 45.5% elo% vs. random_no_suicide, avg. reward: -10.848, 2.072 sec/game, 2.8 min. total, 484.6 MB
annuity_bulge v4 103 games, 74079 moves, e=0.927, loss: 5.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -10.826, 2.077 sec/game, 2.8 min. total, 485.2 MB
annuity_bulge v4 104 games, 74933 moves, e=0.926, loss: 5.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: -10.806, 2.094 sec/game, 2.9 min. total, 485.1 MB
annuity_bulge v4 105 games, 75659 moves, e=0.925, loss: 5.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: -10.811, 2.094 sec/game, 2.9 min. total, 484.8 MB
annuity_bulge v4 106 games, 76427 moves, e=0.924, loss: 5.9, -, 37.9% elo% vs. random_no_suicide, avg. reward: -10.815, 2.109 sec/game, 2.9 min. total, 484.6 MB
annuity_bulge v4 107 games, 77133 moves, e=0.924, loss: 5.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: -10.789, 2.097 sec/game, 3.0 min. total, 484.2 MB
