stegosaur_undermine v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.1 MB
stegosaur_undermine v4 105 games, 77188 moves, e=0.924, loss: 5.7, +, 47.9% elo% vs. random_no_suicide, avg. reward: -9.602, 1.409 sec/game, 2.1 min. total, 492.7 MB
stegosaur_undermine v4 106 games, 77986 moves, e=0.923, loss: 5.7, -, 45.7% elo% vs. random_no_suicide, avg. reward: -9.584, 1.399 sec/game, 2.1 min. total, 491.4 MB
stegosaur_undermine v4 107 games, 78825 moves, e=0.922, loss: 6.1, -, 43.6% elo% vs. random_no_suicide, avg. reward: -9.563, 1.410 sec/game, 2.2 min. total, 491.9 MB
stegosaur_undermine v4 108 games, 79502 moves, e=0.921, loss: 6.5, -, 41.7% elo% vs. random_no_suicide, avg. reward: -9.570, 1.398 sec/game, 2.2 min. total, 492.5 MB
stegosaur_undermine v4 109 games, 80286 moves, e=0.921, loss: 6.1, ., 42.0% elo% vs. random_no_suicide, avg. reward: -9.564, 1.413 sec/game, 2.2 min. total, 493.0 MB
stegosaur_undermine v4 110 games, 80981 moves, e=0.920, loss: 6.7, -, 40.2% elo% vs. random_no_suicide, avg. reward: -9.576, 1.403 sec/game, 2.2 min. total, 493.3 MB
stegosaur_undermine v4 111 games, 81760 moves, e=0.919, loss: 6.0, -, 38.4% elo% vs. random_no_suicide, avg. reward: -9.568, 1.414 sec/game, 2.2 min. total, 492.8 MB
stegosaur_undermine v4 112 games, 82550 moves, e=0.918, loss: 5.9, +, 41.1% elo% vs. random_no_suicide, avg. reward: -9.567, 1.417 sec/game, 2.3 min. total, 494.2 MB
stegosaur_undermine v4 113 games, 83356 moves, e=0.917, loss: 6.2, -, 39.3% elo% vs. random_no_suicide, avg. reward: -9.565, 1.427 sec/game, 2.3 min. total, 492.7 MB
stegosaur_undermine v4 114 games, 84112 moves, e=0.917, loss: 6.3, -, 37.6% elo% vs. random_no_suicide, avg. reward: -9.562, 1.428 sec/game, 2.3 min. total, 493.0 MB
stegosaur_undermine v4 115 games, 84948 moves, e=0.916, loss: 6.5, -, 36.0% elo% vs. random_no_suicide, avg. reward: -9.536, 1.439 sec/game, 2.3 min. total, 492.9 MB
stegosaur_undermine v4 116 games, 85698 moves, e=0.915, loss: 7.0, +, 38.7% elo% vs. random_no_suicide, avg. reward: -9.533, 1.428 sec/game, 2.4 min. total, 493.1 MB
stegosaur_undermine v4 117 games, 86561 moves, e=0.914, loss: 7.3, -, 37.1% elo% vs. random_no_suicide, avg. reward: -9.510, 1.439 sec/game, 2.4 min. total, 493.1 MB
stegosaur_undermine v4 118 games, 87321 moves, e=0.914, loss: 6.2, -, 35.5% elo% vs. random_no_suicide, avg. reward: -9.506, 1.452 sec/game, 2.4 min. total, 494.9 MB
stegosaur_undermine v4 119 games, 88029 moves, e=0.913, loss: 6.1, -, 34.0% elo% vs. random_no_suicide, avg. reward: -9.504, 1.445 sec/game, 2.4 min. total, 495.2 MB
stegosaur_undermine v4 120 games, 88780 moves, e=0.912, loss: 6.6, ., 34.7% elo% vs. random_no_suicide, avg. reward: -9.499, 1.449 sec/game, 2.5 min. total, 495.7 MB
stegosaur_undermine v4 121 games, 89535 moves, e=0.911, loss: 6.8, +, 37.4% elo% vs. random_no_suicide, avg. reward: -9.501, 1.450 sec/game, 2.5 min. total, 495.5 MB
stegosaur_undermine v4 122 games, 90244 moves, e=0.911, loss: 6.5, -, 35.8% elo% vs. random_no_suicide, avg. reward: -9.508, 1.454 sec/game, 2.5 min. total, 495.3 MB
stegosaur_undermine v4 123 games, 91014 moves, e=0.910, loss: 6.0, -, 34.3% elo% vs. random_no_suicide, avg. reward: -9.502, 1.463 sec/game, 2.5 min. total, 495.2 MB
stegosaur_undermine v4 124 games, 91779 moves, e=0.909, loss: 5.7, -, 32.9% elo% vs. random_no_suicide, avg. reward: -9.499, 1.464 sec/game, 2.6 min. total, 495.2 MB
stegosaur_undermine v4 125 games, 92579 moves, e=0.908, loss: 5.3, -, 31.6% elo% vs. random_no_suicide, avg. reward: -9.489, 1.470 sec/game, 2.6 min. total, 495.5 MB
stegosaur_undermine v4 126 games, 93351 moves, e=0.908, loss: 5.2, -, 30.4% elo% vs. random_no_suicide, avg. reward: -9.465, 1.471 sec/game, 2.6 min. total, 496.8 MB
stegosaur_undermine v4 127 games, 94155 moves, e=0.907, loss: 5.4, -, 29.2% elo% vs. random_no_suicide, avg. reward: -9.455, 1.473 sec/game, 2.6 min. total, 497.6 MB
stegosaur_undermine v4 128 games, 95030 moves, e=0.906, loss: 5.3, ., 30.0% elo% vs. random_no_suicide, avg. reward: -9.443, 1.493 sec/game, 2.7 min. total, 496.7 MB
stegosaur_undermine v4 129 games, 95749 moves, e=0.905, loss: 5.6, -, 28.8% elo% vs. random_no_suicide, avg. reward: -9.442, 1.493 sec/game, 2.7 min. total, 498.3 MB
stegosaur_undermine v4 130 games, 96476 moves, e=0.904, loss: 5.6, -, 27.8% elo% vs. random_no_suicide, avg. reward: -9.446, 1.494 sec/game, 2.7 min. total, 496.8 MB
stegosaur_undermine v4 131 games, 97197 moves, e=0.904, loss: 5.9, -, 26.7% elo% vs. random_no_suicide, avg. reward: -9.436, 1.499 sec/game, 2.7 min. total, 498.3 MB
stegosaur_undermine v4 132 games, 98036 moves, e=0.903, loss: 5.9, +, 29.5% elo% vs. random_no_suicide, avg. reward: -9.417, 1.499 sec/game, 2.8 min. total, 497.1 MB
stegosaur_undermine v4 133 games, 98861 moves, e=0.902, loss: 5.5, +, 32.2% elo% vs. random_no_suicide, avg. reward: -9.404, 1.500 sec/game, 2.8 min. total, 497.1 MB
stegosaur_undermine v4 134 games, 99550 moves, e=0.901, loss: 5.9, -, 31.0% elo% vs. random_no_suicide, avg. reward: -9.403, 1.492 sec/game, 2.8 min. total, 497.0 MB
stegosaur_undermine v4 135 games, 100314 moves, e=0.901, loss: 5.9, +, 33.7% elo% vs. random_no_suicide, avg. reward: -9.391, 1.493 sec/game, 2.8 min. total, 498.4 MB
stegosaur_undermine v4 136 games, 101099 moves, e=0.900, loss: 6.3, +, 36.5% elo% vs. random_no_suicide, avg. reward: -9.364, 1.499 sec/game, 2.9 min. total, 498.8 MB
stegosaur_undermine v4 137 games, 101795 moves, e=0.899, loss: 6.9, +, 39.3% elo% vs. random_no_suicide, avg. reward: -9.363, 1.491 sec/game, 2.9 min. total, 497.6 MB
stegosaur_undermine v4 138 games, 102619 moves, e=0.898, loss: 6.9, -, 37.6% elo% vs. random_no_suicide, avg. reward: -9.340, 1.494 sec/game, 2.9 min. total, 499.6 MB
stegosaur_undermine v4 139 games, 103273 moves, e=0.898, loss: 6.8, -, 36.0% elo% vs. random_no_suicide, avg. reward: -9.361, 1.494 sec/game, 2.9 min. total, 499.3 MB
stegosaur_undermine v4 140 games, 104065 moves, e=0.897, loss: 6.9, -, 34.4% elo% vs. random_no_suicide, avg. reward: -9.347, 1.505 sec/game, 3.0 min. total, 498.5 MB
stegosaur_undermine v4 141 games, 104825 moves, e=0.896, loss: 6.8, -, 33.0% elo% vs. random_no_suicide, avg. reward: -9.330, 1.497 sec/game, 3.0 min. total, 498.6 MB
stegosaur_undermine v4 142 games, 105528 moves, e=0.896, loss: 7.0, -, 31.7% elo% vs. random_no_suicide, avg. reward: -9.362, 1.497 sec/game, 3.0 min. total, 498.7 MB
stegosaur_undermine v4 143 games, 106337 moves, e=0.895, loss: 6.7, +, 34.5% elo% vs. random_no_suicide, avg. reward: -9.333, 1.492 sec/game, 3.0 min. total, 498.7 MB
