goofball_resource v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
goofball_resource v3 77 games, 55604 moves, e=0.945, loss: 0.8, -, 10.3% elo% vs. random_no_suicide, avg. reward: 0.403, 1.343 sec/game, 1.4 min. total, 441.7 MB
goofball_resource v3 78 games, 56372 moves, e=0.944, loss: 0.8, -, 10.1% elo% vs. random_no_suicide, avg. reward: 0.403, 1.354 sec/game, 1.5 min. total, 441.7 MB
goofball_resource v3 79 games, 57184 moves, e=0.943, loss: 0.8, -, 9.9% elo% vs. random_no_suicide, avg. reward: 0.405, 1.334 sec/game, 1.5 min. total, 443.0 MB
goofball_resource v3 80 games, 58028 moves, e=0.943, loss: 0.8, -, 9.8% elo% vs. random_no_suicide, avg. reward: 0.404, 1.363 sec/game, 1.5 min. total, 442.9 MB
goofball_resource v3 81 games, 58779 moves, e=0.942, loss: 0.8, -, 9.6% elo% vs. random_no_suicide, avg. reward: 0.403, 1.365 sec/game, 1.5 min. total, 442.9 MB
goofball_resource v3 82 games, 59533 moves, e=0.941, loss: 0.8, -, 9.4% elo% vs. random_no_suicide, avg. reward: 0.400, 1.375 sec/game, 1.6 min. total, 442.9 MB
goofball_resource v3 83 games, 60409 moves, e=0.940, loss: 0.9, -, 9.3% elo% vs. random_no_suicide, avg. reward: 0.397, 1.380 sec/game, 1.6 min. total, 442.4 MB
goofball_resource v3 84 games, 61015 moves, e=0.940, loss: 0.9, -, 9.2% elo% vs. random_no_suicide, avg. reward: 0.397, 1.369 sec/game, 1.6 min. total, 442.9 MB
goofball_resource v3 85 games, 61872 moves, e=0.939, loss: 0.9, -, 9.0% elo% vs. random_no_suicide, avg. reward: 0.396, 1.390 sec/game, 1.6 min. total, 442.9 MB
goofball_resource v3 86 games, 62572 moves, e=0.938, loss: 0.8, -, 8.9% elo% vs. random_no_suicide, avg. reward: 0.395, 1.365 sec/game, 1.6 min. total, 443.2 MB
goofball_resource v3 87 games, 63244 moves, e=0.937, loss: 0.9, -, 8.7% elo% vs. random_no_suicide, avg. reward: 0.396, 1.366 sec/game, 1.7 min. total, 442.5 MB
goofball_resource v3 88 games, 63942 moves, e=0.937, loss: 0.9, -, 8.6% elo% vs. random_no_suicide, avg. reward: 0.398, 1.354 sec/game, 1.7 min. total, 443.0 MB
goofball_resource v3 89 games, 64730 moves, e=0.936, loss: 0.9, -, 8.5% elo% vs. random_no_suicide, avg. reward: 0.397, 1.364 sec/game, 1.7 min. total, 444.9 MB
goofball_resource v3 90 games, 65576 moves, e=0.935, loss: 0.9, -, 8.4% elo% vs. random_no_suicide, avg. reward: 0.396, 1.376 sec/game, 1.7 min. total, 445.6 MB
goofball_resource v3 91 games, 66297 moves, e=0.934, loss: 0.9, -, 8.3% elo% vs. random_no_suicide, avg. reward: 0.395, 1.366 sec/game, 1.8 min. total, 446.2 MB
goofball_resource v3 92 games, 66908 moves, e=0.934, loss: 0.9, -, 8.1% elo% vs. random_no_suicide, avg. reward: 0.393, 1.364 sec/game, 1.8 min. total, 446.2 MB
goofball_resource v3 93 games, 67665 moves, e=0.933, loss: 0.9, -, 8.0% elo% vs. random_no_suicide, avg. reward: 0.392, 1.366 sec/game, 1.8 min. total, 445.8 MB
goofball_resource v3 94 games, 68269 moves, e=0.932, loss: 0.9, -, 7.9% elo% vs. random_no_suicide, avg. reward: 0.390, 1.367 sec/game, 1.8 min. total, 446.4 MB
goofball_resource v3 95 games, 69056 moves, e=0.932, loss: 1.0, -, 7.8% elo% vs. random_no_suicide, avg. reward: 0.393, 1.369 sec/game, 1.8 min. total, 446.5 MB
goofball_resource v3 96 games, 69790 moves, e=0.931, loss: 1.0, -, 7.7% elo% vs. random_no_suicide, avg. reward: 0.392, 1.371 sec/game, 1.9 min. total, 446.6 MB
goofball_resource v3 97 games, 70571 moves, e=0.930, loss: 1.0, -, 7.6% elo% vs. random_no_suicide, avg. reward: 0.392, 1.375 sec/game, 1.9 min. total, 446.6 MB
goofball_resource v3 98 games, 71315 moves, e=0.929, loss: 0.9, -, 7.5% elo% vs. random_no_suicide, avg. reward: 0.392, 1.377 sec/game, 1.9 min. total, 446.3 MB
goofball_resource v3 99 games, 72083 moves, e=0.929, loss: 1.0, -, 7.4% elo% vs. random_no_suicide, avg. reward: 0.391, 1.376 sec/game, 1.9 min. total, 447.2 MB
goofball_resource v3 100 games, 72796 moves, e=0.928, loss: 0.9, -, 7.3% elo% vs. random_no_suicide, avg. reward: 0.391, 1.351 sec/game, 2.0 min. total, 446.7 MB
goofball_resource v3 101 games, 73474 moves, e=0.927, loss: 1.0, -, 7.2% elo% vs. random_no_suicide, avg. reward: 0.388, 1.349 sec/game, 2.0 min. total, 447.6 MB
goofball_resource v3 102 games, 74196 moves, e=0.927, loss: 1.0, -, 7.1% elo% vs. random_no_suicide, avg. reward: 0.386, 1.342 sec/game, 2.0 min. total, 447.7 MB
goofball_resource v3 103 games, 74963 moves, e=0.926, loss: 1.0, -, 7.1% elo% vs. random_no_suicide, avg. reward: 0.387, 1.340 sec/game, 2.0 min. total, 447.8 MB
goofball_resource v3 104 games, 75778 moves, e=0.925, loss: 1.0, -, 7.0% elo% vs. random_no_suicide, avg. reward: 0.387, 1.363 sec/game, 2.1 min. total, 447.7 MB
goofball_resource v3 105 games, 76504 moves, e=0.924, loss: 0.9, -, 6.9% elo% vs. random_no_suicide, avg. reward: 0.392, 1.343 sec/game, 2.1 min. total, 447.8 MB
goofball_resource v3 106 games, 77296 moves, e=0.923, loss: 1.0, -, 6.8% elo% vs. random_no_suicide, avg. reward: 0.389, 1.355 sec/game, 2.1 min. total, 447.3 MB
goofball_resource v3 107 games, 78061 moves, e=0.923, loss: 1.0, -, 6.7% elo% vs. random_no_suicide, avg. reward: 0.391, 1.356 sec/game, 2.1 min. total, 447.9 MB
