fifth_squid v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
fifth_squid v3 57 games, 39418 moves, e=0.961, loss: 320.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: 14.211, 1.302 sec/game, 1.0 min. total, 442.9 MB
fifth_squid v3 58 games, 40047 moves, e=0.960, loss: 326.3, -, 41.4% elo% vs. random_no_suicide, avg. reward: 14.214, 1.301 sec/game, 1.0 min. total, 444.8 MB
fifth_squid v3 59 games, 40700 moves, e=0.960, loss: 335.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: 14.216, 1.314 sec/game, 1.0 min. total, 443.9 MB
fifth_squid v3 60 games, 41436 moves, e=0.959, loss: 374.7, -, 37.8% elo% vs. random_no_suicide, avg. reward: 14.188, 1.326 sec/game, 1.0 min. total, 443.9 MB
fifth_squid v3 61 games, 42091 moves, e=0.958, loss: 374.1, -, 36.2% elo% vs. random_no_suicide, avg. reward: 14.186, 1.314 sec/game, 1.1 min. total, 444.4 MB
fifth_squid v3 62 games, 42835 moves, e=0.958, loss: 387.7, -, 34.7% elo% vs. random_no_suicide, avg. reward: 14.214, 1.323 sec/game, 1.1 min. total, 444.6 MB
fifth_squid v3 63 games, 43585 moves, e=0.957, loss: 389.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: 14.211, 1.326 sec/game, 1.1 min. total, 444.7 MB
fifth_squid v3 64 games, 44294 moves, e=0.956, loss: 395.7, -, 31.9% elo% vs. random_no_suicide, avg. reward: 14.212, 1.321 sec/game, 1.1 min. total, 444.4 MB
fifth_squid v3 65 games, 45051 moves, e=0.955, loss: 403.7, -, 30.6% elo% vs. random_no_suicide, avg. reward: 14.214, 1.311 sec/game, 1.2 min. total, 444.3 MB
fifth_squid v3 66 games, 45618 moves, e=0.955, loss: 413.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: 14.206, 1.306 sec/game, 1.2 min. total, 444.8 MB
fifth_squid v3 67 games, 46358 moves, e=0.954, loss: 406.2, -, 28.3% elo% vs. random_no_suicide, avg. reward: 14.215, 1.303 sec/game, 1.2 min. total, 444.8 MB
fifth_squid v3 68 games, 47160 moves, e=0.953, loss: 384.8, -, 27.3% elo% vs. random_no_suicide, avg. reward: 14.198, 1.312 sec/game, 1.2 min. total, 446.2 MB
fifth_squid v3 69 games, 47850 moves, e=0.953, loss: 400.0, -, 26.3% elo% vs. random_no_suicide, avg. reward: 14.187, 1.302 sec/game, 1.2 min. total, 447.5 MB
fifth_squid v3 70 games, 48518 moves, e=0.952, loss: 438.2, -, 25.4% elo% vs. random_no_suicide, avg. reward: 14.180, 1.294 sec/game, 1.3 min. total, 448.2 MB
fifth_squid v3 71 games, 49180 moves, e=0.951, loss: 424.5, -, 24.5% elo% vs. random_no_suicide, avg. reward: 14.167, 1.284 sec/game, 1.3 min. total, 448.2 MB
fifth_squid v3 72 games, 50016 moves, e=0.950, loss: 452.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: 14.142, 1.285 sec/game, 1.3 min. total, 448.8 MB
fifth_squid v3 73 games, 50736 moves, e=0.950, loss: 457.9, -, 22.9% elo% vs. random_no_suicide, avg. reward: 14.130, 1.286 sec/game, 1.3 min. total, 448.8 MB
fifth_squid v3 74 games, 51450 moves, e=0.949, loss: 495.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: 14.148, 1.283 sec/game, 1.4 min. total, 449.0 MB
fifth_squid v3 75 games, 52193 moves, e=0.948, loss: 498.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: 14.143, 1.296 sec/game, 1.4 min. total, 449.4 MB
fifth_squid v3 76 games, 52859 moves, e=0.948, loss: 489.7, ., 22.4% elo% vs. random_no_suicide, avg. reward: 14.151, 1.300 sec/game, 1.4 min. total, 449.6 MB
fifth_squid v3 77 games, 53597 moves, e=0.947, loss: 480.9, -, 21.7% elo% vs. random_no_suicide, avg. reward: 14.164, 1.317 sec/game, 1.4 min. total, 449.5 MB
fifth_squid v3 78 games, 54406 moves, e=0.946, loss: 482.0, -, 21.0% elo% vs. random_no_suicide, avg. reward: 14.149, 1.342 sec/game, 1.4 min. total, 449.7 MB
fifth_squid v3 79 games, 55176 moves, e=0.945, loss: 495.5, -, 20.4% elo% vs. random_no_suicide, avg. reward: 14.159, 1.342 sec/game, 1.5 min. total, 449.7 MB
fifth_squid v3 80 games, 55835 moves, e=0.945, loss: 477.5, -, 19.8% elo% vs. random_no_suicide, avg. reward: 14.168, 1.333 sec/game, 1.5 min. total, 450.6 MB
fifth_squid v3 81 games, 56518 moves, e=0.944, loss: 516.4, -, 19.2% elo% vs. random_no_suicide, avg. reward: 14.185, 1.335 sec/game, 1.5 min. total, 450.6 MB
fifth_squid v3 82 games, 57284 moves, e=0.943, loss: 536.0, -, 18.6% elo% vs. random_no_suicide, avg. reward: 14.191, 1.338 sec/game, 1.5 min. total, 450.6 MB
fifth_squid v3 83 games, 57968 moves, e=0.943, loss: 505.6, -, 18.1% elo% vs. random_no_suicide, avg. reward: 14.182, 1.327 sec/game, 1.6 min. total, 450.7 MB
fifth_squid v3 84 games, 58714 moves, e=0.942, loss: 508.0, -, 17.6% elo% vs. random_no_suicide, avg. reward: 14.185, 1.328 sec/game, 1.6 min. total, 450.3 MB
fifth_squid v3 85 games, 59526 moves, e=0.941, loss: 481.8, -, 17.2% elo% vs. random_no_suicide, avg. reward: 14.170, 1.354 sec/game, 1.6 min. total, 450.7 MB
fifth_squid v3 86 games, 60216 moves, e=0.940, loss: 492.3, -, 16.7% elo% vs. random_no_suicide, avg. reward: 14.176, 1.359 sec/game, 1.6 min. total, 450.6 MB
fifth_squid v3 87 games, 60953 moves, e=0.940, loss: 501.0, -, 16.3% elo% vs. random_no_suicide, avg. reward: 14.179, 1.360 sec/game, 1.6 min. total, 450.8 MB
fifth_squid v3 88 games, 61638 moves, e=0.939, loss: 525.5, -, 15.9% elo% vs. random_no_suicide, avg. reward: 14.185, 1.350 sec/game, 1.7 min. total, 450.9 MB
fifth_squid v3 89 games, 62370 moves, e=0.938, loss: 525.8, -, 15.5% elo% vs. random_no_suicide, avg. reward: 14.187, 1.365 sec/game, 1.7 min. total, 451.9 MB
fifth_squid v3 90 games, 63103 moves, e=0.938, loss: 533.0, -, 15.1% elo% vs. random_no_suicide, avg. reward: 14.173, 1.363 sec/game, 1.7 min. total, 452.9 MB
fifth_squid v3 91 games, 63821 moves, e=0.937, loss: 539.3, -, 14.8% elo% vs. random_no_suicide, avg. reward: 14.173, 1.387 sec/game, 1.7 min. total, 452.6 MB
fifth_squid v3 92 games, 64552 moves, e=0.936, loss: 556.8, -, 14.4% elo% vs. random_no_suicide, avg. reward: 14.164, 1.389 sec/game, 1.8 min. total, 453.1 MB
fifth_squid v3 93 games, 65300 moves, e=0.935, loss: 560.0, -, 14.1% elo% vs. random_no_suicide, avg. reward: 14.158, 1.387 sec/game, 1.8 min. total, 453.2 MB
fifth_squid v3 94 games, 65981 moves, e=0.935, loss: 563.2, -, 13.8% elo% vs. random_no_suicide, avg. reward: 14.165, 1.384 sec/game, 1.8 min. total, 452.6 MB
fifth_squid v3 95 games, 66772 moves, e=0.934, loss: 566.7, -, 13.5% elo% vs. random_no_suicide, avg. reward: 14.162, 1.386 sec/game, 1.8 min. total, 452.8 MB
fifth_squid v3 96 games, 67585 moves, e=0.933, loss: 546.4, -, 13.2% elo% vs. random_no_suicide, avg. reward: 14.158, 1.407 sec/game, 1.9 min. total, 453.4 MB
fifth_squid v3 97 games, 68236 moves, e=0.932, loss: 540.2, -, 12.9% elo% vs. random_no_suicide, avg. reward: 14.170, 1.392 sec/game, 1.9 min. total, 453.9 MB
fifth_squid v3 98 games, 69007 moves, e=0.932, loss: 535.6, -, 12.7% elo% vs. random_no_suicide, avg. reward: 14.170, 1.381 sec/game, 1.9 min. total, 453.5 MB
fifth_squid v3 99 games, 69856 moves, e=0.931, loss: 528.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: 14.170, 1.385 sec/game, 1.9 min. total, 454.1 MB
fifth_squid v3 100 games, 70626 moves, e=0.930, loss: 511.4, -, 12.2% elo% vs. random_no_suicide, avg. reward: 14.158, 1.396 sec/game, 2.0 min. total, 454.3 MB
fifth_squid v3 101 games, 71454 moves, e=0.929, loss: 560.6, -, 11.9% elo% vs. random_no_suicide, avg. reward: 14.151, 1.421 sec/game, 2.0 min. total, 453.8 MB
fifth_squid v3 102 games, 72078 moves, e=0.929, loss: 560.3, -, 11.7% elo% vs. random_no_suicide, avg. reward: 14.164, 1.412 sec/game, 2.0 min. total, 454.2 MB
fifth_squid v3 103 games, 72849 moves, e=0.928, loss: 540.0, -, 11.5% elo% vs. random_no_suicide, avg. reward: 14.158, 1.423 sec/game, 2.0 min. total, 454.8 MB
fifth_squid v3 104 games, 73597 moves, e=0.927, loss: 549.0, -, 11.3% elo% vs. random_no_suicide, avg. reward: 14.153, 1.414 sec/game, 2.0 min. total, 455.2 MB
fifth_squid v3 105 games, 74371 moves, e=0.926, loss: 574.9, -, 11.1% elo% vs. random_no_suicide, avg. reward: 14.148, 1.409 sec/game, 2.1 min. total, 455.3 MB
fifth_squid v3 106 games, 75128 moves, e=0.926, loss: 601.8, -, 10.9% elo% vs. random_no_suicide, avg. reward: 14.126, 1.411 sec/game, 2.1 min. total, 455.3 MB
fifth_squid v3 107 games, 75881 moves, e=0.925, loss: 624.8, -, 10.7% elo% vs. random_no_suicide, avg. reward: 14.120, 1.413 sec/game, 2.1 min. total, 455.4 MB
fifth_squid v3 108 games, 76699 moves, e=0.924, loss: 662.4, -, 10.5% elo% vs. random_no_suicide, avg. reward: 14.100, 1.436 sec/game, 2.1 min. total, 455.5 MB
fifth_squid v3 109 games, 77417 moves, e=0.923, loss: 676.3, -, 10.3% elo% vs. random_no_suicide, avg. reward: 14.081, 1.427 sec/game, 2.2 min. total, 455.4 MB
fifth_squid v3 110 games, 78104 moves, e=0.923, loss: 680.9, -, 10.1% elo% vs. random_no_suicide, avg. reward: 14.077, 1.433 sec/game, 2.2 min. total, 456.5 MB
fifth_squid v3 111 games, 78951 moves, e=0.922, loss: 668.8, -, 10.0% elo% vs. random_no_suicide, avg. reward: 14.052, 1.426 sec/game, 2.2 min. total, 457.0 MB
fifth_squid v3 112 games, 79818 moves, e=0.921, loss: 694.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: 14.048, 1.437 sec/game, 2.2 min. total, 457.8 MB
fifth_squid v3 113 games, 80552 moves, e=0.920, loss: 709.4, -, 9.6% elo% vs. random_no_suicide, avg. reward: 14.053, 1.437 sec/game, 2.3 min. total, 457.8 MB
fifth_squid v3 114 games, 81287 moves, e=0.920, loss: 724.8, -, 9.5% elo% vs. random_no_suicide, avg. reward: 14.061, 1.446 sec/game, 2.3 min. total, 457.4 MB
fifth_squid v3 115 games, 81979 moves, e=0.919, loss: 696.5, -, 9.3% elo% vs. random_no_suicide, avg. reward: 14.072, 1.434 sec/game, 2.3 min. total, 458.0 MB
fifth_squid v3 116 games, 82775 moves, e=0.918, loss: 734.6, -, 9.2% elo% vs. random_no_suicide, avg. reward: 14.064, 1.429 sec/game, 2.3 min. total, 457.8 MB
fifth_squid v3 117 games, 83470 moves, e=0.917, loss: 712.1, -, 9.1% elo% vs. random_no_suicide, avg. reward: 14.065, 1.442 sec/game, 2.4 min. total, 458.3 MB
fifth_squid v3 118 games, 84173 moves, e=0.917, loss: 731.8, -, 8.9% elo% vs. random_no_suicide, avg. reward: 14.072, 1.434 sec/game, 2.4 min. total, 458.3 MB
fifth_squid v3 119 games, 85055 moves, e=0.916, loss: 686.2, -, 8.8% elo% vs. random_no_suicide, avg. reward: 14.046, 1.445 sec/game, 2.4 min. total, 458.3 MB
fifth_squid v3 120 games, 85777 moves, e=0.915, loss: 691.0, -, 8.7% elo% vs. random_no_suicide, avg. reward: 14.034, 1.444 sec/game, 2.4 min. total, 458.0 MB
fifth_squid v3 121 games, 86426 moves, e=0.914, loss: 714.4, -, 8.5% elo% vs. random_no_suicide, avg. reward: 14.032, 1.422 sec/game, 2.5 min. total, 458.9 MB
fifth_squid v3 122 games, 87199 moves, e=0.914, loss: 687.4, -, 8.4% elo% vs. random_no_suicide, avg. reward: 14.026, 1.437 sec/game, 2.5 min. total, 459.7 MB
fifth_squid v3 123 games, 87883 moves, e=0.913, loss: 687.0, -, 8.3% elo% vs. random_no_suicide, avg. reward: 14.013, 1.430 sec/game, 2.5 min. total, 460.5 MB
fifth_squid v3 124 games, 88604 moves, e=0.912, loss: 718.0, -, 8.2% elo% vs. random_no_suicide, avg. reward: 14.017, 1.440 sec/game, 2.5 min. total, 459.9 MB
fifth_squid v3 125 games, 89367 moves, e=0.912, loss: 703.0, -, 8.1% elo% vs. random_no_suicide, avg. reward: 14.006, 1.431 sec/game, 2.6 min. total, 460.3 MB
fifth_squid v3 126 games, 90201 moves, e=0.911, loss: 691.1, -, 8.0% elo% vs. random_no_suicide, avg. reward: 13.985, 1.441 sec/game, 2.6 min. total, 460.6 MB
fifth_squid v3 127 games, 90973 moves, e=0.910, loss: 679.4, -, 7.8% elo% vs. random_no_suicide, avg. reward: 13.980, 1.444 sec/game, 2.6 min. total, 460.4 MB
fifth_squid v3 128 games, 91726 moves, e=0.909, loss: 712.2, -, 7.7% elo% vs. random_no_suicide, avg. reward: 13.989, 1.432 sec/game, 2.6 min. total, 460.4 MB
fifth_squid v3 129 games, 92314 moves, e=0.909, loss: 730.9, -, 7.6% elo% vs. random_no_suicide, avg. reward: 14.006, 1.428 sec/game, 2.6 min. total, 460.5 MB
fifth_squid v3 130 games, 93043 moves, e=0.908, loss: 759.2, -, 7.5% elo% vs. random_no_suicide, avg. reward: 14.001, 1.423 sec/game, 2.7 min. total, 460.5 MB
fifth_squid v3 131 games, 93853 moves, e=0.907, loss: 729.4, -, 7.4% elo% vs. random_no_suicide, avg. reward: 14.020, 1.432 sec/game, 2.7 min. total, 460.5 MB
fifth_squid v3 132 games, 94621 moves, e=0.906, loss: 746.4, -, 7.4% elo% vs. random_no_suicide, avg. reward: 14.031, 1.422 sec/game, 2.7 min. total, 461.9 MB
fifth_squid v3 133 games, 95458 moves, e=0.905, loss: 740.4, -, 7.3% elo% vs. random_no_suicide, avg. reward: 14.034, 1.431 sec/game, 2.7 min. total, 462.1 MB
fifth_squid v3 134 games, 96277 moves, e=0.905, loss: 755.4, -, 7.2% elo% vs. random_no_suicide, avg. reward: 14.028, 1.443 sec/game, 2.8 min. total, 462.2 MB
fifth_squid v3 135 games, 97045 moves, e=0.904, loss: 746.9, -, 7.1% elo% vs. random_no_suicide, avg. reward: 14.011, 1.457 sec/game, 2.8 min. total, 461.8 MB
fifth_squid v3 136 games, 97670 moves, e=0.903, loss: 736.0, -, 7.0% elo% vs. random_no_suicide, avg. reward: 14.016, 1.446 sec/game, 2.8 min. total, 462.3 MB
fifth_squid v3 137 games, 98410 moves, e=0.903, loss: 739.8, -, 6.9% elo% vs. random_no_suicide, avg. reward: 14.001, 1.438 sec/game, 2.8 min. total, 461.9 MB
fifth_squid v3 138 games, 99228 moves, e=0.902, loss: 776.6, -, 6.8% elo% vs. random_no_suicide, avg. reward: 13.987, 1.463 sec/game, 2.9 min. total, 462.7 MB
fifth_squid v3 139 games, 99973 moves, e=0.901, loss: 824.7, -, 6.8% elo% vs. random_no_suicide, avg. reward: 13.950, 1.453 sec/game, 2.9 min. total, 462.9 MB
fifth_squid v3 140 games, 100667 moves, e=0.900, loss: 869.1, -, 6.7% elo% vs. random_no_suicide, avg. reward: 13.930, 1.445 sec/game, 2.9 min. total, 463.0 MB
fifth_squid v3 141 games, 101400 moves, e=0.900, loss: 842.0, -, 6.6% elo% vs. random_no_suicide, avg. reward: 13.923, 1.455 sec/game, 2.9 min. total, 463.0 MB
fifth_squid v3 142 games, 102133 moves, e=0.899, loss: 865.4, -, 6.5% elo% vs. random_no_suicide, avg. reward: 13.930, 1.444 sec/game, 3.0 min. total, 464.7 MB
fifth_squid v3 143 games, 102862 moves, e=0.898, loss: 881.2, -, 6.5% elo% vs. random_no_suicide, avg. reward: 13.931, 1.462 sec/game, 3.0 min. total, 464.3 MB
fifth_squid v3 144 games, 103713 moves, e=0.897, loss: 817.1, -, 6.4% elo% vs. random_no_suicide, avg. reward: 13.929, 1.475 sec/game, 3.0 min. total, 464.2 MB
fifth_squid v3 145 games, 104459 moves, e=0.897, loss: 809.3, -, 6.3% elo% vs. random_no_suicide, avg. reward: 13.931, 1.475 sec/game, 3.0 min. total, 464.5 MB
fifth_squid v3 146 games, 105201 moves, e=0.896, loss: 822.5, -, 6.2% elo% vs. random_no_suicide, avg. reward: 13.926, 1.465 sec/game, 3.1 min. total, 463.9 MB
